show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int
3092,Movie,"El Pepe, a Supreme Life",Emir Kusturica,José Mujica,"Argentina, Uruguay, Serbia",2019-12-27,2018,TV-14,73 min,"Documentaries, International Movies","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future.",73
3095,Movie,The App,Elisa Fuksas,Vincenzo Crea,Italy,2019-12-26,2019,TV-MA,79 min,"Dramas, Independent Movies, International Movies","While in Rome to shoot his first movie, actor and industrial heir Nick becomes obsessed with a dating app that sends him into a self-destructive spiral.",79
3097,TV Show,You,Lee Toland Krieger,Penn Badgley,United States,2019-12-26,2019,TV-MA,2 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas","Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",2
3098,Movie,Doom: Annihilation,Tony Giglio,Amy Manson,United States,2019-12-25,2019,R,97 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","When a swarm of soul-stealing demons invades a Martian moon, a group of elite space Marines must obliterate the beasts to save Earth.",97
3099,Movie,Fireworks,"Akiyuki Shinbo, Nobuyuki Takeuchi",Yuki Kaji,Japan,2019-12-25,2017,TV-PG,91 min,"Anime Features, Romantic Movies","Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.",91
3100,Movie,Grand-Daddy Day Care,Ron Oliver,Danny Trejo,United States,2019-12-25,2019,PG-13,96 min,"Children & Family Movies, Comedies",A frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.,96
3101,Movie,Jarhead: Law of Return,Don Michael Paul,Amaury Nolasco,"Israel, United States",2019-12-25,2019,R,103 min,"Action & Adventure, Dramas","When a U.S. senator’s son is held captive by Hezbollah militiamen, a group of highly trained soldiers ventures into enemy territory to bring him home.",103
3102,Movie,MFKZ,"Shojiro Nishimi, Guillaume Renard",Kenn Michael,"France, Japan",2019-12-25,2017,R,95 min,"Action & Adventure, Comedies, International Movies",Mysterious goons chase teenage slacker Angelino through chaotic Dark Meat City as he uncovers secret powers that could be the key to saving the world.,95
3103,Movie,Sweetheart,J.D. Dillard,Kiersey Clemons,United States,2019-12-25,2019,PG-13,83 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",A woman shipwrecked on a remote island discovers she’s not alone and begins a fight for survival against a deadly presence that emerges each night.,83
3105,Movie,Como caído del cielo,Pepe Bojórquez,Omar Chaparro,Mexico,2019-12-24,2019,TV-14,117 min,"Comedies, International Movies, Music & Musicals","To earn his place in heaven, legendary Mexican actor-singer Pedro Infante is sent back to Earth in an impersonator's body to mend his womanizing ways.",117
3106,Movie,John Mulaney & The Sack Lunch Bunch,Rhys Thomas,John Mulaney,United States,2019-12-24,2019,TV-PG,70 min,"Children & Family Movies, Comedies","John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",70
3108,Movie,Jacob's Ladder,David M. Rosenthal,Michael Ealy,United States,2019-12-22,2019,R,90 min,Thrillers,"After being reunited with a brother he thought was killed in combat, a former army medic begins to experience violent, paranoid visions.",90
3110,Movie,Back of the Net,Louise Alston,Sofia Wylie,Australia,2019-12-21,2019,TV-Y,86 min,"Children & Family Movies, Sports Movies",An American science geek ready to spend a summer at sea accidentally ends up at an Australian soccer academy and is forced to kick it with the locals.,86
3111,Movie,Lost in London,Sunkanmi Adebayo,Ime Bishop Umoh,Nigeria,2019-12-21,2017,TV-PG,86 min,"Comedies, International Movies","Nigerian students Okon and Bona experience culture shock – several shocks, really – after being selected for an exchange program in London.",86
3113,Movie,Being Mrs Elliot,Omoni Oboli,Omoni Oboli,Nigeria,2019-12-20,2014,TV-14,113 min,"Dramas, International Movies, Romantic Movies","When a scorned wife from the city shares a cab with a troubled villager, a fiery accident forces them to live out each other's lives.",113
3115,Movie,Iyore,Frank Rajah Arase,Rita Dominic,Nigeria,2019-12-20,2015,TV-PG,141 min,"Dramas, International Movies, Romantic Movies",A tragic romance unfolds during a teacher's lessons on the Benin empire after they begin to mirror her love life when her childhood love reappears.,141
3117,Movie,The Two Popes,Fernando Meirelles,Anthony Hopkins,"United Kingdom, Italy",2019-12-20,2019,PG-13,126 min,Dramas,"At a key turning point for the Catholic Church, Pope Benedict XVI forms a surprising friendship with the future Pope Francis. Inspired by true events.",126
3119,Movie,After the Raid,Rodrigo Reyes,Unknown,"United States, Mexico",2019-12-19,2019,TV-PG,25 min,"Documentaries, International Movies",A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.,25
3122,TV Show,Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,Unknown,"United Kingdom, United States",2019-12-18,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,1
3124,Movie,Ronny Chieng: Asian Comedian Destroys America!,Sebastian DiNatale,Ronny Chieng,United States,2019-12-17,2019,TV-MA,63 min,Stand-Up Comedy,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more.",63
3125,Movie,"Sincerely Yours, Dhaka","Nuhash Humayun, Syed Ahmed Shawki, Rahat Rahman, Robiul Alam Robi, Golam Kibria Farooki, Mir Mukarram Hossain, Tanvir Ahsan, Mahmudul Islam, Abdullah Al Noor, Krishnendu Chattopadhyay, Syed Saleh Ahmed Sobhan",Mostafizur Noor Imran,Bangladesh,2019-12-16,2018,TV-MA,136 min,"Comedies, Dramas, Independent Movies",Eleven emerging Bangladeshi filmmakers present a collection of gritty shorts centered on the capital city and the people living in its margins.,136
3126,Movie,The Danish Girl,Tom Hooper,Eddie Redmayne,"United Kingdom, United States, Germany, Denmark, Belgium, Japan",2019-12-16,2015,R,120 min,"Dramas, Independent Movies, International Movies","In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.",120
3127,Movie,Bangistan,Karan Anshuman,Riteish Deshmukh,India,2019-12-15,2015,TV-14,134 min,"Comedies, Dramas, International Movies","Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course.",134
3131,TV Show,"Crazy, Lovely, Cool",Obi Emelonye,Enyinna Nwigwe,Nigeria,2019-12-15,2018,TV-MA,1 Season,"International TV Shows, TV Dramas","For a group of charismatic undergraduates, the jolting revelations from a campus blog turn surviving university life into a serious matter.",1
3132,Movie,Dil Chahta Hai,Farhan Akhtar,Aamir Khan,India,2019-12-15,2001,TV-14,185 min,"Comedies, Dramas, International Movies","Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",185
3133,Movie,Dil Dhadakne Do,Zoya Akhtar,Anil Kapoor,India,2019-12-15,2015,TV-MA,174 min,"Comedies, Dramas, International Movies","While hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade.",174
3134,Movie,Don,Farhan Akhtar,Shah Rukh Khan,India,2019-12-15,2006,TV-14,169 min,"Action & Adventure, International Movies","A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang.",169
3135,Movie,Don 2,Farhan Akhtar,Shah Rukh Khan,"India, Germany",2019-12-15,2011,TV-14,148 min,"Action & Adventure, International Movies, Music & Musicals","With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.",148
3136,Movie,Fukrey,Mrighdeep Singh Lamba,Pulkit Samrat,India,2019-12-15,2013,TV-14,135 min,"Action & Adventure, Comedies, Dramas",Four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed Bollywood teen drama.,135
3137,Movie,Game,Abhinay Deo,Abhishek Bachchan,India,2019-12-15,2011,TV-14,135 min,"International Movies, Thrillers","A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",135
3138,TV Show,Girls und Panzer,Tsutomu Mizushima,Mai Fuchigami,Japan,2019-12-15,2012,TV-PG,1 Season,"Anime Series, International TV Shows",Miho Nishizumi tries to escape her family's tradition of tankery by enrolling at a new high school. Instead she gets back into the sport with friends.,1
3140,Movie,Honeymoon Travels Pvt. Ltd.,Reema Kagti,Shabana Azmi,India,2019-12-15,2007,TV-14,119 min,"Comedies, Dramas, International Movies",This offbeat comedy-drama follows six quirky newlywed couples as they set off on a bus from Mumbai to Goa on their honeymoons.,119
3141,Movie,Isoken,Jadesola Osiberu,Dakore Akande,Nigeria,2019-12-15,2017,TV-14,98 min,"Comedies, International Movies, Romantic Movies","Single at 34, Isoken is maneuvered by her mother toward a relationship with a black entrepreneur but finds herself drawn to a white photojournalist.",98
3142,Movie,Karthik Calling Karthik,Vijay Lalwani,Farhan Akhtar,India,2019-12-15,2010,TV-14,135 min,"Dramas, International Movies, Thrillers","Unlucky in love and bullied at work, an office drone is resigned to his dead-end life until it’s transformed by mysterious calls from … himself.",135
3143,Movie,Lakshya,Farhan Akhtar,Amitabh Bachchan,India,2019-12-15,2004,TV-PG,185 min,"Action & Adventure, Dramas, International Movies","After dropping out of the army, a spoiled teenager reenlists and proves his mettle by becoming an officer just as war breaks out.",185
3144,Movie,Luck by Chance,Zoya Akhtar,Farhan Akhtar,India,2019-12-15,2009,TV-14,156 min,"Dramas, International Movies, Romantic Movies","When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.",156
3145,Movie,Potato Potahto,Shirley Frimpong-Manso,O.C. Ukeje,Ghana,2019-12-15,2017,TV-MA,104 min,"Comedies, Dramas, International Movies",A divorced couple decides to continue sharing a home but their already-delicate cohabiting scheme unravels when they begin dating other people.,104
3146,Movie,Rock On!!,Abhishek Kapoor,Farhan Akhtar,India,2019-12-15,2008,TV-14,139 min,"Dramas, International Movies, Music & Musicals","Four friends hoped that their rock band would be a hit. After breaking up, the band members reunite and take another shot at fulfilling their dream.",139
3148,Movie,Talaash,Reema Kagti,Aamir Khan,India,2019-12-15,2012,TV-14,140 min,"Dramas, International Movies, Thrillers","Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",140
3150,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,Hrithik Roshan,India,2019-12-15,2011,TV-14,154 min,"Comedies, Dramas, International Movies",Three friends on an adventurous road trip/bachelor party in Spain learn some lessons about themselves and each other that will change them forever.,154
3151,Movie,6 Underground,Michael Bay,Ryan Reynolds,United States,2019-12-13,2019,R,129 min,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",129
3152,Movie,A Trip to Jamaica,Robert O. Peters,Ayo Makun,Nigeria,2019-12-13,2016,TV-MA,99 min,"Comedies, International Movies",A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,99
3153,Movie,My Wife and I,Bunmi Ajakaiye,Ramsey Nouah,South Africa,2019-12-13,2017,TV-MA,100 min,"Comedies, International Movies, Romantic Movies","When a couple leaning toward divorce meets with a pastor for counseling, an unexpected development shakes up their marriage.",100
3154,Movie,Okafor's Law,Omoni Oboli,Unknown,Nigeria,2019-12-13,2016,TV-14,110 min,"Comedies, International Movies, Romantic Movies",An unapologetic lothario sets out to seduce three ex-flames – but gets an unexpected education in love along the way.,110
3156,Movie,The 9th Precinct,Ding-Lin Wang,Roy Chiu,Taiwan,2019-12-13,2019,TV-MA,95 min,"International Movies, Thrillers",An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.,95
3158,Movie,Jack Whitehall: Christmas with My Father,Richard van't Riet,Jack Whitehall,United Kingdom,2019-12-12,2019,TV-MA,65 min,Stand-Up Comedy,"Jack Whitehall invites his notoriously stuffy father onstage in London's West End for a Christmas comedy extravaganza, complete with celebrity guests.",65
3159,Movie,The Sky Is Pink,Shonali Bose,Rohit Saraf,"India, United Kingdom, Canada, United States",2019-12-11,2019,TV-MA,143 min,"Dramas, International Movies","After succumbing to her terminal illness, a teenager posthumously narrates her parents’ tenacious relationship in this drama based on a true story.",143
3160,Movie,Good and Prosperous,Sameh Abdulaziz,Ali Rabee,Egypt,2019-12-10,2017,TV-14,101 min,"Comedies, International Movies","As two jobless brothers search aimlessly for careers worthy of their hard-to-please mother’s praise, they cluelessly tackle countless gigs.",101
3161,Movie,Michelle Wolf: Joke Show,Lance Bangs,Michelle Wolf,United States,2019-12-10,2019,TV-MA,60 min,Stand-Up Comedy,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.",60
3162,Movie,A Family Reunion Christmas,Robbie Countryman,Loretta Devine,United States,2019-12-09,2019,TV-PG,29 min,"Children & Family Movies, Comedies",M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,29
3163,Movie,It Comes at Night,Trey Edward Shults,Joel Edgerton,United States,2019-12-09,2017,R,92 min,"Horror Movies, Independent Movies","As danger stalks the world outside his isolated home, an overprotective father faces a tough decision when another family shows up seeking help.",92
3164,Movie,Saaho,Sujeeth,Prabhas,India,2019-12-08,2019,TV-14,172 min,"Action & Adventure, International Movies","In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail.",172
3165,Movie,Nothing to Lose 2,Alexandre Avancini,Petrônio Gontijo,Brazil,2019-12-07,2019,PG-13,97 min,"Dramas, Faith & Spirituality, International Movies","As controversy surrounds the evangelical church he helped found, Edir Macedo must juggle betrayals, politics and personal loss in this biopic sequel.",97
3167,Movie,Banana Island Ghost,BB Sasore,Chigul,Nigeria,2019-12-06,2017,TV-14,108 min,"Comedies, International Movies","Searching for a soul mate, a ghost negotiates with God for three more days on Earth to find love, then meets a woman in need of help herself.",108
3170,Movie,Marriage Story,Noah Baumbach,Scarlett Johansson,"United Kingdom, United States",2019-12-06,2019,R,137 min,Dramas,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.,137
3171,Movie,No Game No Life: Zero,Atsuko Ishizuka,Yoshitsugu Matsuoka,Japan,2019-12-06,2017,TV-MA,106 min,"Action & Adventure, Anime Features, International Movies","In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction.",106
3172,Movie,Slow Country,Eric Aghimien,Ivie Okujaye,Nigeria,2019-12-06,2017,TV-MA,115 min,"Dramas, International Movies","Desperate to leave a life of prostitution, a teenage mother attempts to outsmart her ruthless boss who is determined to keep his prized asset.",115
3175,TV Show,The Chosen One,Michel Tikhomiroff,Paloma Bernardi,Brazil,2019-12-06,2019,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.",2
3176,TV Show,The Confession Killer,"Robert Kenner, Taki Oldham",Unknown,United States,2019-12-06,2019,TV-14,1 Season,"Crime TV Shows, Docuseries",Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth – and horrifying consequences.,1
3179,Movie,Wives on Strike,Omoni Oboli,Omoni Oboli,Nigeria,2019-12-06,2016,TV-14,92 min,"Comedies, Dramas, International Movies","A group of local women band together to save a terrified young girl from marriage, launching a hilarious strike against their frustrated husbands.",92
3180,Movie,Wives on Strike: The Revolution,Omoni Oboli,Uche Jumbo,"United Kingdom, Nigeria",2019-12-06,2017,TV-PG,93 min,"Comedies, Dramas, International Movies","After a woman is severely beaten at home, her strong-willed friends take a stand against their husbands to seek justice for domestic abuse victims.",93
3181,Movie,A Christmas Prince: The Royal Baby,John Schultz,Rose McIver,United States,2019-12-05,2019,TV-PG,85 min,"Children & Family Movies, Dramas, Romantic Movies","Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",85
3187,Movie,Tiffany Haddish: Black Mitzvah,Linda Mendoza,Tiffany Haddish,United States,2019-12-03,2019,TV-MA,56 min,Stand-Up Comedy,"On her 40th birthday, Tiffany Haddish drops a bombastic special studded with singing, dancing and raunchy reflections on her long road to womanhood.",56
3189,Movie,A Cinderella Story: Christmas Wish,Michelle Johnston,Laura Marano,United States,2019-12-01,2019,PG,86 min,"Children & Family Movies, Comedies, Music & Musicals","Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",86
3190,Movie,Baby Dolls,Vijay Kumar Arora,Nirmal Rishi,India,2019-12-01,2019,TV-PG,127 min,"Comedies, International Movies, Romantic Movies","When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother.",127
3191,Movie,Cut Bank,Matt Shakman,Liam Hemsworth,United States,2019-12-01,2014,R,93 min,"Dramas, Thrillers",A small-town dreamer is sure he's landed on a gold mine after accidentally filming a murder but is sucked into a violent tale of greed and deception.,93
3192,Movie,Dead Kids,Mikhail Red,Khalil Ramos,"Philippines, United States",2019-12-01,2019,TV-MA,94 min,"Dramas, International Movies, Thrillers",A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid – until their kidnapping scheme turns deadly.,94
3194,Movie,High End Yaariyan,Pankaj Batra,Ninja,India,2019-12-01,2019,TV-14,120 min,"Comedies, International Movies, Romantic Movies","From romantic pursuits to their friendship, a trio of young men navigate the complexities of relationships while sharing a London apartment.",120
3195,Movie,Iron Fists and Kung-Fu Kicks,Serge Ou,Unknown,Australia,2019-12-01,2019,TV-MA,108 min,"Documentaries, International Movies",This documentary examines the influence of Hong Kong's martial arts cinema on filmmaking from the Shaw Brothers to modern-day Hollywood blockbusters.,108
3196,Movie,Jindua,Navaniat Singh,Jimmy Shergill,India,2019-12-01,2017,TV-14,135 min,"Dramas, International Movies, Romantic Movies",An Indian man in Canada marries a local citizen to legalize his immigration status. The only problem? His girlfriend isn't thrilled about his new wife.,135
3198,Movie,Mahi NRI,Gaurav Bavdankar,Harrdy Sandhu,United Kingdom,2019-12-01,2017,TV-14,134 min,"Comedies, Dramas, International Movies","A Punjabi man attempts to build a life in London in hopes of impressing his girlfriend’s mother, who insists her daughter marry a man outside of India.",134
3199,Movie,Qismat,Jagdeep Sidhu,Ammy Virk,India,2019-12-01,2018,TV-PG,137 min,"Dramas, International Movies, Romantic Movies","A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate.",137
3201,Movie,Tee Shot: Ariya Jutanugarn,Tanawat Aiemjinda,Krissiri Sukhsvasti,Thailand,2019-12-01,2019,TV-14,103 min,"Children & Family Movies, Dramas, International Movies","This biopic follows pro golfer Ariya Jutanugarn's journey to the LPGA tour, from child prodigy to her number-one ranking in the world.",103
3202,Movie,Thug Life,Mukesh Vohra,Harish Verma,India,2019-12-01,2017,TV-14,133 min,"Comedies, Dramas, International Movies",A get-rich-quick scheme goes awry when a group of friends stumbles onto a dangerous conspiracy and wind up getting mistaken for the bad guys.,133
3203,Movie,Wandering Stars,"Syrine Boulanouar, Nekfeu",Nekfeu,France,2019-12-01,2019,TV-MA,95 min,"Documentaries, International Movies, Music & Musicals","Navigating creative pressures and personal upsets, French rapper Nekfeu sets out on a global quest for musical inspiration in this documentary.",95
3204,Movie,Why Me?,Tudor Giurgiu,Emilian Oprea,"Romania, Bulgaria, Hungary",2019-12-01,2015,TV-MA,126 min,"Dramas, International Movies, Thrillers",A young prosecutor is assigned a career-making case involving a colleague but soon starts to question the motivations behind the charges.,126
3206,Movie,Guatemala: Heart of the Mayan World,"Luis Ara, Ignacio Jaunsolo",Christian Morales,"Uruguay, Guatemala",2019-11-30,2019,TV-G,67 min,"Documentaries, International Movies","From Sierra de las Minas to Esquipulas, explore Guatemala's cultural and geological wealth, including ancient Mayan cities and other natural wonders.",67
3207,Movie,The Zoya Factor,Abhishek Sharma,Sonam Kapoor,India,2019-11-30,2019,TV-14,135 min,"Comedies, Dramas, International Movies","A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",135
3208,Movie,Atlantics,Mati Diop,Mama Sane,"France, Senegal, Belgium",2019-11-29,2019,TV-14,106 min,"Dramas, Independent Movies, International Movies","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",106
3210,Movie,Crazy people,Moses Inwang,Ramsey Nouah,Nigeria,2019-11-29,2018,TV-MA,107 min,"Comedies, International Movies, Thrillers",Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,107
3211,Movie,I Lost My Body,Jérémy Clapin,Hakim Faris,France,2019-11-29,2019,TV-MA,81 min,"Dramas, Independent Movies, International Movies","Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film.",81
3212,Movie,Kalushi: The Story of Solomon Mahlangu,Mandla Dube,Thabo Rametsi,South Africa,2019-11-29,2016,TV-MA,107 min,"Dramas, International Movies","The life and times of iconic South African liberation fighter Solomon Mahlangu, who battled the forces of apartheid, come into focus.",107
3215,Movie,Payday,Cheta Chukwu,Baaj Adebule,Nigeria,2019-11-29,2018,TV-MA,110 min,"Comedies, Independent Movies, International Movies","After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",110
3216,Movie,The Accidental Spy,Roger Russell,Ramsey Nouah,Nigeria,2019-11-29,2017,TV-MA,104 min,"Action & Adventure, Comedies, International Movies","Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.",104
3218,Movie,The Island,Toka McBaror,Sambasa Nzeribe,Nigeria,2019-11-29,2018,TV-14,93 min,"Dramas, International Movies, Thrillers","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",93
3219,Movie,Holiday Rush,Leslie Small,Romany Malco,United States,2019-11-28,2019,TV-PG,94 min,"Children & Family Movies, Dramas",A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.,94
3224,Movie,Defiance,Edward Zwick,Daniel Craig,United States,2019-11-27,2008,R,137 min,"Action & Adventure, Dramas","In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",137
3225,Movie,Evvarikee Cheppoddu,Basava Shankar Eeday,Rakesh Varre,India,2019-11-27,2019,TV-14,134 min,"Comedies, International Movies, Romantic Movies","When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",134
3227,Movie,The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn",Violet Nelson,"Canada, Norway",2019-11-27,2019,TV-MA,106 min,"Dramas, Independent Movies","After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives.",106
3228,Movie,The Irishman,Martin Scorsese,Robert De Niro,United States,2019-11-27,2019,R,209 min,Dramas,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.,209
3229,Movie,Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,2019-11-26,2019,TV-MA,86 min,Stand-Up Comedy,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,86
3230,Movie,Super Monsters Save Christmas,Steve Ball,Elyse Maloway,United States,2019-11-26,2019,TV-Y,24 min,Children & Family Movies,"It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!",24
3234,Movie,Pranaam,Sanjiv Jaiswal,Rajeev Khandelwal,India,2019-11-25,2019,TV-14,117 min,"Action & Adventure, Dramas, International Movies","Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",117
3235,Movie,What the F* Is Going On?,"Marta Jaenes, Rosa Márquez",Unknown,Spain,2019-11-25,2019,TV-MA,87 min,"Documentaries, International Movies","Featuring extensive interviews, this documentary takes a critical look at the gender inequality in Spain as the feminist movement aims to shift reality.",87
3236,Movie,Shot Caller,Ric Roman Waugh,Nikolaj Coster-Waldau,United States,2019-11-24,2017,R,121 min,"Dramas, Thrillers","Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",121
3238,Movie,Brother,Julien Abraham,MHD,France,2019-11-22,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",97
3240,Movie,Girls und Panzer der Film,Tsutomu Mizushima,Mai Fuchigami,Japan,2019-11-22,2015,TV-MA,121 min,"Action & Adventure, Anime Features, International Movies",The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,121
3245,Movie,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,2019-11-22,2019,TV-MA,119 min,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",119
3249,Movie,The Knight Before Christmas,Monika Mitchell,Vanessa Hudgens,United States,2019-11-21,2019,TV-14,93 min,"Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.",93
3251,Movie,"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,2019-11-20,2019,TV-MA,86 min,Documentaries,This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.,86
3252,Movie,Dorasaani,KVR Mahendra,Anand Deverakonda,India,2019-11-20,2019,TV-14,134 min,"Dramas, International Movies, Romantic Movies",A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,134
3254,Movie,"Lorena, Light-Footed Woman",Juan Carlos Rulfo,Lorena Ramírez,Mexico,2019-11-20,2019,TV-G,28 min,"Documentaries, International Movies, Sports Movies",Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.,28
3255,Movie,Mallesham,Raj R,Jhansi,India,2019-11-20,2019,TV-14,131 min,"Dramas, Independent Movies, International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",131
3257,Movie,Iliza Shlesinger: Unveiled,Steve Paley,Iliza Shlesinger,United States,2019-11-19,2019,TV-MA,78 min,Stand-Up Comedy,"Here comes the bride, and she's got plenty to say. Newlywed Iliza Shlesinger dissects wedding traditions as she mines her nuptials for laughs.",78
3260,Movie,Iron Sky: The Coming Race,Timo Vuorensola,Unknown,"Finland, Germany, Belgium",2019-11-16,2019,TV-MA,93 min,"Action & Adventure, Comedies, International Movies","Decades after a nuclear war, survivors on the moon revisit Earth to locate a potential power source – and find shape-shifting reptiles instead.",93
3261,Movie,Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,2019-11-16,2014,TV-MA,84 min,Stand-Up Comedy,"America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter.",84
3262,Movie,Suffragette,Sarah Gavron,Carey Mulligan,"United Kingdom, France",2019-11-16,2015,PG-13,107 min,"Dramas, International Movies","At the beginning of the 20th century, circumstances drive a young, idealistic suffragette to find radical approaches to fighting male oppression.",107
3263,Movie,The Green Inferno,Eli Roth,Ignacia Allamand,"United States, Chile",2019-11-16,2013,R,101 min,"Horror Movies, Independent Movies","Determined to save an Amazon tribe being squeezed by logging, a group of students finds nothing but trouble when their plane crashes in the jungle.",101
